id,text
FBI_22,Information received from MI 5 regarding Raeed Beandali%2C an American citizen who was listed on Al Qaeda rosters [see CIA report 15 Feb. 2003]. According to this roster%2C Beandali was sent from Afghanistan to London on 12 December%2C 2002. MI 5 tells us that a man was arrested in London on 10 February%2C 2004 for carrying an unregistered British driver's license. The name on this license was Reginald Cooper and the address given on this license was # 12 Lavender Grove%2C Hackney%2C London. When he was arrested%2C Cooper told police constables that he lived alone with his old Mum at this address. Inquiries made at 12 Lavender Grove revealed that it was occupied by several men%2C one of whom was identified by neighbors as a "nice American" who called himself Ralph Bean. An assortment of materials for constructing explosive devices were found in a shed behind this residence. Reginald Cooper was subsequently identified as Mahmud al-Dahab%2C an Egyptian who had been living in London for about 15 years. Asked where Ralph Bean was to be found%2C all Cooper [al Dahab] would say is; "He went home". Checks with airlines revealed that a Ralph Bean%2C traveling on an American passport%2C left London Heathrow on 16 March%2C 2004 for Detroit MI.
CIA_21,Query regarding Cubans registering at Casablanca hotels. Carlos Araneda%2C Havana%2C Cuba%2C registered at the Moroccan Sands Hotel on 19 October%2C 2003; checked out on 22 October%2C 2003. Jose Escalante and B. Bugarov%2C both of Havana%2C Cuba%2C registered together at Sahara Atlantic Hotel on 21 October%2C 2003; checked out on 23 October%2C 2003. Arnoldo Ramirez%2C San Cristobal%2C Cuba%2C registered at Sahara Atlantic Hotel on 18 October%2C 2003; checked out on 22 October%2C 2003.
FBI_21,Received information from  MI 6 about Imad Dahdah%2C who resides at #65 West End Ave. in Nassau%2C The Bahamas. Dahdah was born in Syria in 1964 and came to the UK in 1994. He became active in Islamic affairs and regularly attended the Baker St. mosque. He obtained British citizenship in 1998 and travels under a British passport. He traveled to Afghanistan in 1999 - 2000 and is now suspected of having been trained at an Al Qaeda facility during this time. Dahdah returned to the UK in March of 2000 but left for The Bahamas in June of 2000. He works at an auto repair shop for a minimum wage but is now known to receive periodic funds from an account at the Gulf Shores Bank in Tampa%2C FL. The account from which these funds are drawn belongs to an organization named Middle Eastern Charities.
CIA_20,A paid source in Chitral said he was treated on about 2 October%2C 2003 for a broken arm by a Dr. Badawi in a refugee camp outside Chitral. Asked how he knew it was a Dr. Badawi%2C the source replied that another refugee had told him who this doctor was.
FBI_20,Further information about Abdul al Nami who works as a computer scientist for the Detroit Utilities Co. [see FBI report 8%2C March%2C 2004]. Nami came to the USA from Saudi Arabia in 1994 on a student visa to attend the University of Michigan at Ann Arbor. He earned an MA 1996 in computer science and was granted a green card in 1997 for work at the Detroit Utilities Co. He applied for U.S. citizenship in 1999%2C which was granted in April of 2000. Officials at the Detroit Utilities Co say that al Nami is a splendid worker who has intimate knowledge of the SCADA system and was instrumental in increasing the efficiency of electric power distribution in the Detroit area. Officials said he took a six-months' leave of absence in January%2C 2001 to visit his family in Riyadh.
NSA_09,Intercepted phone call from Casablanca%2C Morocco to Santo Domingo%2C Dominican Republic on 23 October%2C 2003. The call originated from a phone listed at the Holland Orange Shipping Lines in Casablanca; the recipient of the call was at a residence at 65 Avenue San Martin in Santo Domingo. During the conversation the caller states [in Arabic]: "You will receive a shipment of antibiotics at a time we will announce to you. At about the same time you will receive a shipment of medical supplies. We will let you know where these items will be going."
NSA_08,Intercepted phone call on 25 September from Chitral%2C Pakistan to Casablanca%2C Morocco. The call from Chitral was from a prepaid cell phone using an unlisted ID number supplied by an Internet Cafe in Peshawar. The recipient phone is listed as belonging to the loading office at the Holland Orange Shipping Lines in Casablanca. The caller begins by saying: "I have not seen you for quite a while%2C but I will see you at the usual place on the 20th. I'll be in Casablanca for a few days doing other business." The person receiving the calls says: "I will be glad to see you on the 20th; will you be bringing anyone else with you?" The caller says: "Possibly just one of my friends."
NSA_07,Intercepted phone call from a location in Karachi%2C Pakistan to a location in Panama City%2C Panama. The location in Karachi is # 631 Nishtar Rd; the location in Panama City is 993 Panamico Ave. The caller says [in English]: "Can you help us sell a large assortment of very high quality tanzanite in a short time?" The person receiving the call says: "Yes%2C will the money go to the usual place?" The caller replies: "Yes%2C for this shipment%2C but the money from other shipments may go to other places; we will let you know."
NSA_06,Intercepted phone call on 5 September%2C 2003 from a location in Nassau to one in Freeport in the Bahamas. The Nassau location is: # 11 Apple St. and the Freeport location is 1789 Grenfel Ave. The resident at the Nassau address is named Omar Hanif; the resident at the Freeport address is named Muslih Odeh. In part of this message the caller says: "Do you remember the meeting I went to in Karachi last March? I am going to offer you a promotion%2C will you accept it?" The reply is: "Yes%2C of course."
NSA_05,Intercepted phone call on 3 September%2C 2003 from a location in Moscow%2C identified as a phone at the Central Russian Airlines offices%2C to a pay phone located in a bus station in Chitral%2C Pakistan. The caller%2C speaking in Russian says: "Bugarov will meet you in Casablanca on 22 October. Let me know immediately if you cannot come." The receiver of the call replies%2C also in Russian%2C but with an Arabic accent: "I will be there for sure."
NSA_04,Recorded e-mail traffic on AOL from the Oasis Internet Cafe in Marrakech%2C Morocco to the username rder3. The name rder3 belongs to a user in Windsor%2C Ontario%2C Canada. The person to whom this account is billed is R. Derwish%2C whose address is given as 811 Tecumseh Rd. Part of this message%2C in English%2C reads: "...all you need will be sent to you on 15 July. Do not fail to have it in Abdul's hands before 1 August%2C 2003..."
NSA_03,Intercepted phone call from Paris to Ojinaga%2C Mexico. The Paris call originated from # 12 Rue De Civry; the Ojinaga location is a pay phone at the Cabrito Hotel. In part of the message%2C in Arabic%2C the caller says: "...we will let you know when S and R can make a safe passage north..."
NSA_02,Intercepted phone call in Arabic on 25 April%2C 2003 from a location in Amsterdam to a location in Montreal%2C Canada. The Amsterdam location is: 29 Grootslagstraat%2C Amsterdam; the Montreal location is 721 St Clare St.. In part of this message the caller says: "...the best place for father to stay in Chicago is at 2211 Cermak Rd. because the rent is very cheap..."
NSA_01,Intercepted phone call%2C in Arabic on 28 March%2C 2003 from a location in London to a location in Paris. London location is: 16 Becklow Rd%2C Shepard's Bush; Paris location: 73 Rue Duhesme. In part of this message the caller says: "...I hope you can cook a lot of white meat in Texas..."
CIA_19,One of the men identified in the photo taken in Peshawar on 2 January%2C 2003%2C mentioned in the CIA report of 20 April%2C 2003%2C was a Mamdouh al Hazmi. This person is a Saudi known to have been associated with Al Qaeda. Recently obtained records reveal that a Mamdouh al Hazmi was killed in a firefight with American forces on 12 March%2C 2003 near Orgun in Afghanistan.
FBI_19,Further information regarding Saeed al Nami and and Riyad al Taifi who were apprehended on 26 December%2C 2003 during a robbery attempt in Arlington%2C Texas [see FBI report 2 January%2C 2004]. Both of these individuals are Saudis who came to Buenos Aires%2C Argentina in January of 2001. They are both wanted by the police in Buenos Aires for their role in the bombing of a Jewish synagogue in Buenos Aires in April of 2002. Escaping apprehension%2C they went to Calamar%2C Columbia in May%2C 2002%2C  where they are now known to have been active in collaborating with the ELN. In January%2C 2003 they came to the USA following a route taken by other Islamic militants known to have come into the USA. This route took them from Calamar to Cartagena in Columbia and then by boat to Guane in Cuba. They then went by boat from Guane%2C Cuba to Chetumal%2C Mexico. From Chetumal they traveled to Mexico City and then on to the border town of Ojinaga%2C where they were smuggled into Presidio%2C Texas. In Ojinaga they were both supplied with Texas driver's licenses and U.S. currency by a person whose name they said they could not remember. They went by bus to Ft. Stockton%2C San Antonio%2C and then on to the Dallas area. A search of their apartment at 2727 Robinson Rd. in Grand Prairie%2C Texas revealed an assortment of automatic weapons and the addresses of two men known to be associated with God's Aryan Militia in Texas. These men are Billy Jack Hawkins%2C 1212 Pipeline Rd.%2C Euless%2C Texas%2C and Slade Goodman of 899 Almeda-Genoa Rd. in Houston%2C Texas.
CIA_18,Further information was requested on Muslih Odeh%2C who was mentioned in an NSA report of 15 September%2C 2003. MI 6 reported that Muslih Odeh is believed to be a Saudi and is not a British citizen. Saudi Intelligence reported that a Muslih Odeh was born in Jeddah in 1967 and was last recorded as living in Saudi Arabia in Riyadh in 1998.
FBI_18,In response to a DIA report of 5 March regarding Abdul al Nami%2C a check was made of persons with this name in the Detroit area. There are two persons having this name in the Detroit area. One lives at 562 Fenkell Ave. and the other lives at 766 Livernois Rd. Neither of these two persons have been the subject of FBI investigations in the past. It is now known that the 562 Fenkell Ave. resident is employed as a computer scientist by Detroit Utilities Co. and has worked there for seven years. He holds an American passport giving this address and has lived in the USA for ten years. The resident at 766 Livernois Rd. is a history teacher at the Westfields High School in the Ferndale area and was born in the USA of Saudi parents in 1969. Investigation of these two persons continues.
CIA_17,Based on a NSA intercept reported on 12 September%2C 2003%2C information was requested about a person named Bugarov%2C presumably Russian%2C who might have had contact with Pyotr Safrygin at the Vector Institute in Moscow. It is believed that a Boris Bugarov worked as a scientist on bioweapons at Vector between the years 1986 and 1990. In 1990 he traveled to Havana%2C Cuba with a Maj. Gen. Yury Kalinin%2C but returned to Moscow shortly thereafter. He has not been seen since then; but sources in Russia say he has returned to Cuba and now lives in Havana where he works in some capacity for the Cuban government.
FBI_17,Further information regarding the activities of Jamal al Shibh. When he was observed distributing the jihadic literature on the University of Miami campus%2C he was accompanied by a person who has now been identified. He is Muhammed Dandani%2C whose residence is 455 11th St. in Miami Beach%2C FL. There is no further information about Dandani.
CIA_16,Based on the NSA report of 1 July%2C 2003%2C information was solicited from RCMP regarding the activities of an R. Derwish who lives at 811 Tecumseh Rd. in Windsor%2C Ontario. The RCMP report that this person's name is in fact Satam Derwish%2C a Saudi who has used the first name Ronald since he arrived in Canada in 1992. Derwish now holds a Canadian passport. Derwish has been under surveillance recently by the RCMP because of his associations with suspected Hezbollah members in Windsor and in Detroit%2C Michigan. Derwish works as a ticket agent for Canada Eastern Airlines in Windsor. He gets frequent trips at low cost to various places in the USA and has traveled recently to Newark%2C NJ%2C Chicago%2C IL%2C and Columbus%2C Ohio%2C all of which are cities served by Canadian Eastern Airlines.
FBI_16,Update on the surveillance of Adnan Hijazi. Checks with airlines reveal that he made three trips overseas in the last three months: Madrid%2C Spain [1 - 5 December%2C 2003]; Cairo%2C Egypt [21 - 24 December%2C 2003]; Paris%2C France [ 12 - 18 January%2C 2004].
CIA_15,A Pakistani citizen volunteered on 15 July%2C 2003%2C for a price%2C to provide information about what happened to the former occupants of #88 Sahibzada Gul Rd. in Peshawar. All he could say is that he knew they went north%2C most likely to Chitral. Asked to provide more information about the previous occupants%2C all he would say is that he knew they were Al Qaeda. A footnote to this story is that%2C on 17 July%2C this informer was found with his throat slit in a back alley in Peshawar.
FBI_15,Jamal al Shibh%2C of Yemeni origin%2C has been the Imam at the Tawhid Mosque in Miami%2C Florida for the past ten years. As a result of recent reports provided by informants about al Shibh's call for jihad in America%2C he has been under surveillance. He was photographed on 2 February%2C 2004%2C on the University of Miami campus in Coral Gables%2C distributing literature%2C written in Arabic%2C at various locations known to be frequented by Islamic students. This literature describes how well the city of Miami illustrates that America has become a sink of vice and corruption. Examples are provided of the easy availability of sex and drugs in the Miami area. This literature also calls for immediate jihadic action in order to prevent the corruption of Muslims in America. Especially singled out in this literature is the tourist industry in the Miami area.
CIA_14,Biographical information was requested on Ramundo Ortiz in Panama City. Records reveal that Ortiz runs a business that deals with art objects as well as precious stones. He is known to be an expert evaluator of diamonds and tanzanites. His business is located at 993 Panamico Ave in Panama City. He travels extensively throughout Central and South America. He is also known to have traveled to Havana%2C Cuba on many occasions. He is known not to be associated with narcotics traffic in any way. He appears quite prosperous and supports many local charities. But it is also known that he does business with a variety of clients in Africa and the Middle East%2C especially in Iran and Pakistan.
FBI_14,Based on the information about Wali Shakur%2C noted in the FBI report of 27 November%2C 2003%2C agents were sent to interview him at the 224 Paulson Ave. Clifton NJ address given in this report. Before this interview information was obtained about Shakur's background. He is an American citizen%2C having been born in 1970 in New Brunswick%2C NJ of parents who were immigrants from Pakistan in 1965. Shakur attended Rutgers University for two years %2C dropping out in 1990 in order to study at the American University in Beirut%2C Lebanon. He returned to the USA in 1993. Shakur was shown a copy of the e-mail he had received from either Ahmed Doha or Abu Ayyash on 3 November%2C 2003. He was also asked what the 4%2C000 in this message referred to. Shakur replied that both Doha and Ayyash were students at the University of Missouri and were good friends of his father and that he%2C Shakur%2C did not know them personally. Shakur said that his father had in 2001 loaned them $8%2C000 and had not yet received any payment on this loan. Shakur said he requested at least half payment on this loan and later received a Western Union wire of $4%2C000 from Doha. Shakur said he gave the cash to his father. Asked for his father's address%2C Shakur said his father had died on 2 January%2C 2004. Shakur's activities remain the subject of FBI investigations.
CIA_13,On 20 June%2C 2003%2C three men were arrested at # 71 Voorburg straat in Amsterdam. All three men were of Indonesian origin and had emigrated to The Netherlands in the mid 1990s. These men were arrested on evidence that they had formed a plan to destroy a number of Jewish synagogues in Amsterdam and in other places in The Netherlands. One person was identified as being of special interest to us; his name was established as Riduan Sungkar%2C who was born in Kuala Lumpur in 1974. When he was taken by the police%2C Sungkar was carrying an airline ticket from Schiphol Airport in Amsterdam to Chicago%2C IL with a connecting flight to Los Angeles%2C CA. The departure date on this ticket was 23 June%2C 2003. He was also carrying a Dutch passport in the name: Omar Evertts%2C giving his address as # 71 Voorburg straat%2C Amsterdam. In addition%2C he had a small notebook containing several names and addresses%2C two of which were of persons located in the Los Angeles area. They are: A. Somad%2C 235 Buckthorn St%2C Inglewood CA%2C and Y. Bafaba%2C 773 Flaxton St.%2C Culver City%2C CA.
FBI_13,On 26 December%2C 2003 two men were arrested during a robbery attempt at the FirstTex Bank at 435 Fielder Rd. in Arlington%2C Texas. The two men%2C both wearing ski masks%2C were apprehended by Arlington police as they fled from the bank. The men were identified as Saeed al Nami and Riyad al Taifi%2C both living at 2727 Robinson Rd%2C Apartment 6%2C in Grand Prairie%2C Texas. Each one had a Texas driver's license that was forged%2C and neither could produce a passport of any kind. They both said they had entered the USA from Mexico at Presidio%2C Texas and had come to Mexico by way of Central America from Columbia. Both spoke perfect English and were unemployed at the time. An investigation of their residence revealed money in bags identified as belonging to several other banks in the Dallas area. The total amount in the bags amounted to $42%2C010. In addition%2C there were small arms of various sorts and literature concerning jihad activities. They rented this apartment from a woman named Ruth Tucker%2C who said that they had lived in this apartment for three months%2C had never caused any trouble%2C and paid their rent on time. She also said that they had told her they were students at the University of Texas in Arlington. One item of mail was discovered in their apartment; it was a letter written in Arabic from a person named A. Doman who gave a return address on the envelope as 231 12th St. in Columbia%2C MO.
CIA_12,A number of bombings were attempted in Casablanca on 16 May%2C 2003. Of five attempts only one succeeded in causing mass casualties. In four of the attempts that failed only the bombers were killed. These bombings are believed to have been the actions of local individuals who may have been trained by Al Qaeda in Afghanistan. A person believed to have been a participant in the successful bombing was apprehended on 18 June%2C 2003; his name is Mohamed Essabar. On interrogation%2C Essabar was asked to reveal the names of other participants%2C which%2C even under duress%2C he refused to do. However%2C when he was arrested he was carrying a note in Arabic signed by a person named A. Atmani. One person of interest having this name is Abdellah Atmani%2C who has been a resident of Casablanca all his life. During interviews with Atmani%2C it became clear that he had no part in the bombings on 16 May%2C 2003. However%2C his name was brought to our attention because Atmani works as a loading supervisor for the Holland Orange Shipping Lines that has offices and docks in Casablanca. Holland Orange ships make regular freight runs from Casablanca to a variety of locations along the east coast of the USA as well as to places in the Caribbean. Moroccan police reported that they were keeping Atmani under surveillance.
FBI_12,A tip from an anonymous source directed investigators to a residence at 2111 Troost Ave. in Kansas City%2C Missouri. This source said that explosives were being manufactured at this residence by some terrorists who intended to blow up several buildings in the Kansas City Area. A warrant was obtained to search this residence on evidence provided by an examination of items found in garbage sacks that were picked up by an FBI officer posing as a garbage collector. Traces of chemicals necessary to produce explosives were found on items in this garbage. When this residence was searched on 22 December%2C 2003%2C one man%2C who gave his name as Walter Smith%2C was the only person at home. While the investigation was proceeding%2C another man entered and was apprehended. Subsequent identity checks revealed this man to be Jamal al Quso%2C who had come from Chicago to Kansas City. What was found at this residence were batches of hexamethylene triperoxide diamine [HMTD] and cyclotrimethylene trinitramine [RDX]%2C both primary explosives. Also found were three garbage sacks full of urea and aluminum sulfate. In later investigations of this residence%2C detailed drawings were found of three popular casinos in the Kansas City area: the Argosy Riverside Casino%2C the Isle of Capri Casino%2C and Harrah's Casino.
CIA_11,A house at #88 Sahibzada Gul Rd. in Peshawar%2C suspected of being an Al Qaeda safe house%2C was raided on 15 May%2C 2003 by Pakistani Intelligence. Unfortunately%2C apparently being tipped-off%2C the occupants had fled the day before. However%2C in the mess they left behind%2C there were a few items of interest. One was an expired Pakistani passport issued to a person named Yasir Salman. Other items included a doctor's stethoscope; notes taken in Arabic on Legionella and gastroenteritis; and notes%2C written in Arabic%2C about the results of a May%2C 2002 project in the USA called TOPOFF I. In addition%2C an opened envelope addressed in Arabic to F. Badawi was found behind a cabinet in one of the rooms in this house. Finally%2C a note written in Arabic simply stated: "Karachi%2C March 10%2C 2003%2C Safrygin%2C funds."
FBI_11,In response to a request%2C the FBI searched its files for information on subjects having the initials J. T. [in Detroit%2C MI]%2C A. H. [in Newark%2C NJ]%2C and M. M. [in Laurel%2C MD]. Eight persons with initials J.T. were discovered in Detroit%2C but all these persons are known to the police and have no interesting information in their files. One person was identified with the initials A. H. in Newark; his name is Adnan Hijazi. Hijazi had been interviewed by the FBI following the 9/11/01 attacks. He was cleared of any association with these events and presently has no other entries on his record. There are just two persons in FBI files for Laurel%2C MD with initials M. M. One is Martha Mason and her file reveals that she was convicted on 21 January%2C 2002 for the distribution of narcotics; she is now incarcerated. The other is Mounir Mzoudi%2C of Moroccan descent%2C who holds a degree from Baltimore City College%2C which he obtained in 1994. Mzoudi currently lives at 2116 27th St. in Laurel%2C MD. Mzoudi recently attracted the attention of the FBI because%2C according to a source in Baltimore%2C Mzoudi  had a past association with an organization called the Islamic Circle of North America [ICNA]. He attended a meeting of ICNA held in Baltimore from June 20 to July 2%2C 2000. ICNA quite openly supported the Taliban at this time.
CIA_10,In response to our query about other associates of Omar Mahmoud Othman at the Baker St. Mosque in London%2C MI 5 responded with information that a man named Omar Hanif had been given employment by Othman at this mosque in the period 1993 - 1998. He left the UK for a year in 1999 and was possibly in Afghanistan. Travel records show that he traveled from London Heathrow to Islamabad in February of 1999 and returned to London from there in December%2C 1999. Hanif holds a valid British passport and now lives at #11 Apple St. in Nassau%2C The Bahamas. He is employed by a chain of hotels in the Bahamas and works at the Seashore Hotel in Nassau and%2C occasionally%2C at the Freeport Star Hotel in Freeport. Another name mentioned by MI 5 to be associated with Othman was Jamal al Quso%2C who came to the UK from Yemen in 1993. He applied for British citizenship in 1998 but was refused because of his repeated troubles with the law. He was convicted of inciting to riot in 1996 and served a one-year suspended sentence. Records reveal that he left London Heathrow on a flight to Chicago%2C Illinois on July 17%2C 1999.
