BiCluster Id, Row Type, Array of Rows, Column Type, Array of Columns
212,document,"CIA_28,CIA_26,FBI_15,FBI_40,",place,"USA,Florida,Miami,"
213,document,"NSA_06,CIA_10,FBI_02,CIA_43,",place,"Bahamas,Nassau,11 Apple St.,"
214,document,"CIA_26,CIA_22,NSA_07,NSA_06,CIA_37,",place,"Pakistan,Karachi,"
215,document,"NSA_06,CIA_10,CIA_42,FBI_41,CIA_32,",place,"Bahamas,Freeport,"
216,document,"NSA_06,CIA_10,CIA_42,FBI_41,",place,"Bahamas,Nassau,Freeport,"
217,document,"NSA_08,CIA_15,NSA_20,NSA_18,",place,"Peshawar,Pakistan,Chitral,"
218,document,"FBI_28,CIA_22,NSA_08,CIA_15,CIA_08,NSA_20,NSA_18,",place,"Peshawar,Pakistan,"
219,document,"CIA_20,NSA_08,NSA_05,CIA_15,DIA_02,NSA_20,CIA_37,NSA_18,NSA_14,",place,"Pakistan,Chitral,"
220,document,"FBI_22,FBI_08,FBI_02,",place,"USA,London,UK,Heathrow Airport,"
221,document,"NSA_02,FBI_02,FBI_01,",place,"USA,Canada,Montreal,Quebec,"
222,document,"NSA_02,FBI_06,FBI_04,",place,"USA,2211 Cermak Rd.,Chicago,Illinois,"
223,document,"FBI_17,FBI_02,FBI_35,",place,"USA,Florida,455 11th St.,Miami Beach,"
224,document,"FBI_14,FBI_10,FBI_35,",place,"USA,New Jersey,224 Paulson Ave.,Clifton,"
225,document,"CIA_01,NSA_22,CIA_31,",place,"Moscow,Russia,Middle East,"
226,document,"CIA_14,NSA_22,CIA_31,",place,"Cuba,Middle East,"
227,document,"FBI_28,CIA_25,NSA_07,CIA_14,CIA_09,",place,"Panama City,Panama,"
228,document,"FBI_28,NSA_07,CIA_14,",place,"Pakistan,Panama City,Panama,"
229,document,"NSA_02,CIA_07,FBI_02,CIA_02,FBI_01,",place,"USA,Canada,Montreal,"
230,document,"CIA_28,CIA_23,NSA_09,CIA_03,CIA_38,CIA_30,NSA_16,",place,"Santo Domingo,Dominican Republic,"
231,document,"CIA_03,CIA_30,NSA_16,",place,"Santo Domingo,Dominican Republic,Cuba,Havana,"
232,document,"CIA_28,NSA_09,CIA_39,",place,"Santo Domingo,Morocco,Casablanca,"
233,document,"CIA_22,NSA_08,NSA_05,",place,"Casablanca,Pakistan,"
234,document,"CIA_28,NSA_09,NSA_08,NSA_05,CIA_12,NSA_22,CIA_39,",place,"Morocco,Casablanca,"
235,document,"NSA_04,FBI_36,FBI_34,",place,"Windsor,Ontario,Canada,Morocco,Marrakech,"
236,document,"NSA_19,NSA_17,NSA_15,NSA_13,",place,"Mexico,555 La Mirada St.,Tampico,"
237,document,"NSA_19,NSA_17,NSA_13,",place,"Mexico,Columbia,Bogota,555 La Mirada St.,Tampico,"
238,document,"CIA_03,NSA_21,NSA_19,NSA_17,NSA_13,",place,"Columbia,Bogota,"
239,document,"NSA_21,NSA_19,NSA_17,NSA_13,",place,"Mexico,Columbia,Bogota,"
240,document,"FBI_27,CIA_16,FBI_11,FBI_08,FBI_03,USCBP_02,",place,"USA,Newark,"
241,document,"CIA_16,FBI_11,FBI_08,",place,"USA,Newark,Detroit,Michigan,"
242,document,"FBI_27,CIA_16,FBI_11,FBI_03,USCBP_02,",place,"USA,New Jersey,Newark,"
243,document,"FBI_22,FBI_21,CIA_10,",place,"USA,UK,Afghanistan,"
244,document,"FBI_07,CIA_07,DIA_03,",place,"USA,Canada,Afghanistan,"
245,document,"FBI_22,FBI_21,CIA_12,CIA_10,FBI_07,CIA_07,DIA_03,DIA_01,",place,"USA,Afghanistan,"
246,document,"CIA_17,NSA_22,CIA_36,",place,"Cuba,Havana,Moscow,Russia,"
247,document,"CIA_17,NSA_22,CIA_36,CIA_31,",place,"Cuba,Moscow,Russia,"
248,document,"NSA_05,CIA_17,CIA_05,CIA_01,NSA_22,CIA_36,CIA_34,CIA_31,",place,"Moscow,Russia,"
249,document,"FBI_27,CIA_16,FBI_14,FBI_11,FBI_10,FBI_03,FBI_02,USCBP_02,FBI_35,",place,"USA,New Jersey,"
250,document,"NSA_10,FBI_07,FBI_01,",place,"USA,Canada,New York,Paris,France,Buffalo,"
251,document,"NSA_10,FBI_07,FBI_01,FBI_41,FBI_35,",place,"USA,New York,"
252,document,"NSA_10,FBI_24,NSA_03,NSA_01,FBI_16,FBI_07,CIA_07,FBI_01,",place,"Paris,France,"
253,document,"NSA_10,FBI_07,CIA_07,FBI_01,",place,"USA,Canada,Paris,France,"
254,document,"NSA_02,CIA_16,CIA_13,FBI_12,CIA_10,FBI_09,CIA_07,FBI_06,FBI_04,",place,"USA,Chicago,Illinois,"
255,document,"FBI_09,FBI_06,FBI_04,",place,"USA,Texas,Chicago,Illinois,"
256,document,"NSA_02,CIA_16,CIA_07,",place,"USA,Canada,Chicago,Illinois,"
257,document,"NSA_10,NSA_04,CIA_16,FBI_34,FBI_31,",place,"811 Tecumseh Rd.,Windsor,Ontario,Canada,"
258,document,"CIA_16,FBI_34,FBI_31,",place,"811 Tecumseh Rd.,Windsor,Ontario,Canada,Detroit,Michigan,"
259,document,"NSA_10,CIA_16,FBI_34,",place,"USA,811 Tecumseh Rd.,Windsor,Ontario,Canada,"
260,document,"FBI_19,FBI_38,FBI_37,",place,"USA,Cuba,Texas,Houston,Mexico,Columbia,Cartagena,Guane,"
261,document,"CIA_28,CIA_12,FBI_36,FBI_34,",place,"USA,Morocco,"
262,document,"FBI_25,FBI_19,FBI_09,FBI_04,FBI_38,FBI_37,FBI_33,",place,"USA,Texas,Houston,"
263,document,"CIA_28,CIA_26,FBI_21,FBI_17,FBI_15,FBI_02,FBI_40,FBI_35,",place,"USA,Florida,"
264,document,"CIA_26,FBI_21,FBI_02,",place,"USA,Florida,Bahamas,Nassau,UK,"
265,document,"CIA_26,FBI_21,FBI_02,FBI_40,",place,"USA,Florida,Bahamas,Nassau,"
266,document,"CIA_25,CIA_21,CIA_17,CIA_14,CIA_04,CIA_03,NSA_22,NSA_20,CIA_36,CIA_30,NSA_18,NSA_16,",place,"Cuba,Havana,"
267,document,"CIA_14,NSA_20,NSA_18,",place,"Pakistan,Cuba,Havana,"
268,document,"CIA_04,CIA_03,NSA_16,",place,"Cuba,Havana,Columbia,"
269,document,"CIA_26,FBI_22,NSA_01,CIA_10,FBI_08,FBI_06,FBI_02,CIA_02,",place,"London,UK,"
270,document,"CIA_26,CIA_10,FBI_02,",place,"USA,Bahamas,Nassau,London,UK,"
271,document,"FBI_22,FBI_08,CIA_02,",place,"USA,London,UK,Detroit,Michigan,"
272,document,"FBI_08,FBI_02,CIA_02,",place,"USA,Canada,London,UK,"
273,document,"CIA_26,FBI_22,CIA_10,FBI_08,FBI_06,FBI_02,CIA_02,",place,"USA,London,UK,"
274,document,"CIA_26,CIA_24,FBI_21,NSA_06,CIA_10,FBI_02,CIA_43,CIA_42,FBI_41,FBI_40,NSA_20,CIA_38,",place,"Bahamas,Nassau,"
275,document,"CIA_26,NSA_06,NSA_20,",place,"Pakistan,Bahamas,Nassau,"
276,document,"CIA_26,FBI_21,CIA_10,FBI_02,",place,"USA,Bahamas,Nassau,UK,"
277,document,"CIA_26,FBI_21,CIA_10,FBI_02,FBI_41,FBI_40,",place,"USA,Bahamas,Nassau,"
278,document,"NSA_10,NSA_04,CIA_16,FBI_08,DIA_03,FBI_36,FBI_34,FBI_31,",place,"Windsor,Ontario,Canada,"
279,document,"CIA_16,FBI_08,DIA_03,FBI_36,FBI_34,FBI_31,",place,"Windsor,Ontario,Canada,Detroit,Michigan,"
280,document,"CIA_16,FBI_08,DIA_03,FBI_36,FBI_34,",place,"USA,Windsor,Ontario,Canada,Detroit,Michigan,"
281,document,"NSA_10,CIA_16,FBI_08,DIA_03,FBI_36,FBI_34,",place,"USA,Windsor,Ontario,Canada,"
282,document,"CIA_26,FBI_22,FBI_21,CIA_10,FBI_08,FBI_06,FBI_02,CIA_02,",place,"USA,UK,"
283,document,"FBI_19,FBI_13,FBI_38,FBI_37,",place,"USA,Texas,Mexico,Columbia,"
284,document,"FBI_19,FBI_13,FBI_38,FBI_37,USCBP_01,",place,"USA,Texas,Mexico,"
285,document,"FBI_26,FBI_25,FBI_19,FBI_13,FBI_09,FBI_06,FBI_04,FBI_38,FBI_37,USCBP_01,FBI_33,FBI_32,",place,"USA,Texas,"
286,document,"FBI_23,FBI_22,FBI_20,FBI_18,CIA_16,FBI_11,FBI_08,CIA_02,DIA_03,FBI_36,FBI_34,FBI_31,",place,"Detroit,Michigan,"
287,document,"CIA_16,FBI_08,CIA_02,DIA_03,FBI_36,FBI_34,FBI_31,",place,"Canada,Detroit,Michigan,"
288,document,"CIA_16,FBI_08,CIA_02,DIA_03,FBI_36,FBI_34,",place,"USA,Canada,Detroit,Michigan,"
289,document,"FBI_23,FBI_22,FBI_20,FBI_18,CIA_16,FBI_11,FBI_08,CIA_02,DIA_03,FBI_36,FBI_34,",place,"USA,Detroit,Michigan,"
290,document,"FBI_19,FBI_13,NSA_21,FBI_38,FBI_37,NSA_19,NSA_17,NSA_13,NSA_12,",place,"Mexico,Columbia,"
291,document,"FBI_19,FBI_13,FBI_10,FBI_38,FBI_37,",place,"USA,Columbia,"
292,document,"FBI_19,CIA_04,CIA_03,FBI_38,FBI_37,NSA_16,",place,"Cuba,Columbia,"
293,document,"FBI_19,FBI_38,FBI_37,CIA_36,",place,"USA,Cuba,"
294,document,"NSA_10,NSA_02,CIA_16,FBI_08,FBI_07,CIA_07,FBI_02,CIA_02,FBI_01,DIA_03,FBI_36,FBI_34,",place,"USA,Canada,"
295,date,"20 November, 2003,1 November, 2003,12 September, 2003,3 November, 2003,July, 2001,10 October, 2003,",money,"4,000,$11,000,"
296,date,"1999,2001,1991,17 September, 2004,14 September, 2004,",money,"$8,000,$48,000,"
297,date,"2 January, 2004,1990,1993,2001,3 November, 2003,27 November, 2003,1970,1965,",money,"$8,000,4,000,$4,000,"
298,date,"2000,1 February, 2004,December, 2003,",organization,"Al Qaeda,Omar training camp,"
299,date,"2 October, 2003,27 September, 2003,27 April,",organization,"Drexel Car Rental Agency,Central States Airline,"
300,date,"25 September,23 October, 2003,16 May, 2003,",organization,"Holland Orange Shipping Lines,FBI,"
301,date,"May, 2002,15 May, 2003,March 10, 2003,",organization,"Pakistani Intelligence,Al Qaeda,"
302,date,"2000,1 November, 2003,February of 2001,4 March, 1970,",organization,"NSA,AutoFleet taxi company,"
303,date,"1986,1992,1993,1950,",organization,"Vector,Moscow State University,"
304,date,"2 April, 2003,1 April, 2003,17 April, 2003,6 April, 2003,",organization,"Surete' de l'Etat,Canadauto Car Rental Agency,"
305,date,"1998,15 September, 2003,1967,",organization,"MI 6,NSA,Saudi Intelligence,"
306,date,"1986,12 September, 2003,1990,",organization,"NSA,Vector,Cuban government,"
307,date,"1999,2001,17 September, 2004,",organization,"Al Qaeda,American Islamic Scholarship Fund,"
308,date,"5 September, 2004,17 September, 2004,13 February, 2004,1 October, 2004,",organization,"Al Qaeda,Pakistani intelligence,police HQ,"
309,date,"12 December, 2002,2000-2001,March 2002,26 November, 2002,1999-2000,23 October, 2000,",organization,"Kanjak Training Camp,Al Khaldun  training camp,Al-Badr I training camp,"
310,date,"May, 2002,26 December, 2003,2 January, 2004,January of 2001,April of 2002,January, 2003,",organization,"FBI,God's Aryan Militia,ELN,"
311,date,"19 - 24 October, 2003,20 - 24 October,21 - 22 October,21 - 25 October,22 - 24 October,19 - 24 October,22 - 23 October,19 -21 October,20 - 23 October,",organization,"Moroccan Sands Hotel,Sahara Atlantic Hotel,Moroccan Oasis Hotel,"
312,date,"23 October, 2003,19 - 24 October, 2003,20 - 24 October,21 - 22 October,21 - 25 October,22 - 24 October,19 - 24 October,22 - 23 October,19 -21 October,20 - 23 October,19 October, 2003,22 October, 2003,21 October, 2003,18 October, 2003,",organization,"Moroccan Sands Hotel,Sahara Atlantic Hotel,"
313,date,"1 September,25 September,12 July, 2004,",organization,"FBI,USCBP,Belgian intelligence,militant Islamic groups,"
314,date,"2 - 5 December, 2003,22 - 24 December, 2003,13 - 18 January, 2004,",organization,"Overseas Exports Inc.,Catalan Hotel,Luxor Hotel,Hotel de St. Marie,"
315,date,"12 March, 2003,April, 2000,16 June, 2003,18 September, 2004,",organization,"God's Aryan Militia,TexEast Petroleum Co.,"
316,date,"12 March, 2003,April, 2000,16 June, 2003,",organization,"FBI,God's Aryan Militia,Al Qaeda,TexEast Petroleum Co.,"
317,date,"2 January, 2003,2001,12 January 2003,",organization,"Al Qaeda,Farooq training camp,Farooq training facility,Pakistani police,"
318,date,"13 December, 2004,20 September, 2004,21 November, 2004,19 December, 2004,",organization,"FBI,Royal Norwegian Lines,Sea Aire Lines,Majestic Lines,"
319,date,"1 September,25 September,12 July, 2004,3 August, 2004,11 August, 2004,",organization,"FBI,USCBP,"
320,date,"2001,2002,22 September 2002,July, 2000,",organization,"Al Qaeda,Farooq training camp,Spin Shaga camp,University of Cairo,"
321,date,"1999,16 May, 2003,July 18, 1999,28 September, 2003,",organization,"FBI,MI 5,Islamic Jihad,USCIS,"
322,date,"2 April, 2003,1 April, 2003,Fall of 2001,1997 - 2000,",organization,"Al Qaeda,Surete' de l'Etat,Amercan Embassy in Paris,Al Badr II training camp,"
323,date,"1999,1996,1993,",organization,"FBI,MI 5,Freeport Star Hotel,Seashore Hotel,"
324,date,"1998,1999,1996,1993,1993 - 1998,July 17, 1999,",organization,"MI 5,Freeport Star Hotel,Seashore Hotel,"
325,date,"1998,1999,1996,1993,1993 - 1998,July 17, 1999,25 September, 2003,",organization,"MI 5,Freeport Star Hotel,"
326,date,"13 December, 2004,20 September, 2004,21 November, 2004,19 December, 2004,14 November, 2004,12 December, 2004,18 December, 2004,21 September, 2004,7 November, 2004,17 December, 2004,",organization,"FBI,Royal Norwegian Lines,Sea Aire Lines,"
327,date,"1994,21 January, 2002,June 20 to July 2, 2000,",organization,"FBI,Taliban,Baltimore City College,Islamic Circle of North America,ICNA,"
328,date,"12 September, 2003,1990,1993,",organization,"Vector,University of Missouri,"
329,date,"1986,12 September, 2003,1990,1992,",organization,"NSA,Vector,"
330,date,"1998,1994,1964,1999 - 2000,March of 2000,June of 2000,",organization,"MI 6,Al Qaeda,Baker St. mosque,Gulf Shores Bank,Middle Eastern Charities,"
331,date,"5 March, 2004,1992,1 July, 2003,25 October,18 July, 2004,",organization,"NSA,RCMP,Canada Eastern Airlines,"
332,date,"5 March, 2004,1 July, 2003,25 October,18 July, 2004,",organization,"NSA,DIA,RCMP,Canada Eastern Airlines,"
333,date,"20 November, 2003,12 March, 2003,May, 2002,April, 2000,16 June, 2003,",organization,"FBI,God's Aryan Militia,Al Qaeda,"
334,date,"20 November, 2003,12 March, 2003,May, 2002,26 December, 2003,2 January, 2004,January of 2001,April of 2002,January, 2003,April, 2000,16 June, 2003,",organization,"FBI,God's Aryan Militia,"
335,date,"15 December, 2003,5 March, 2004,1997,23 October, 2003,25 October, 2003,15 May, 2004,20 May, 2004,",organization,"FBI,DIA,BailOut,Carolina First Bank,Detroit police,"
336,date,"1997,1994,1999,1996,8, March, 2004,April of 2000,January, 2001,",organization,"FBI,Detroit Utilities Co.,University of Michigan at Ann Arbor,"
337,date,"1997,1994,1999,",organization,"FBI,Al Qaeda,Detroit Utilities Co.,University of Michigan at Ann Arbor,Taliban,"
338,date,"2 January, 2003,2001,2002,12 January 2003,22 September 2002,July, 2000,",organization,"Al Qaeda,Farooq training camp,"
339,date,"2 January, 2004,1990,1993,2001,3 November, 2003,27 November, 2003,1970,1965,",organization,"FBI,University of Missouri,Rutgers University,American University in Beirut,Western Union,"
340,date,"15 December, 2003,5 March, 2004,1997,23 October, 2003,25 October, 2003,15 May, 2004,20 May, 2004,1 October, 2003,",organization,"BailOut,Carolina First Bank,"
341,date,"5 March, 2004,11 October, 2004,20 October, 2004,",organization,"FBI,Detroit Utilities Co.,RCMP,"
342,date,"1 November, 2003,5 March, 2004,1992,1 July, 2003,25 October,18 July, 2004,",organization,"NSA,RCMP,"
343,date,"1997,1994,1999,21 January, 2002,June 20 to July 2, 2000,",organization,"FBI,Taliban,"
344,date,"1997,1994,1999,October 1967,3 February, 04,",organization,"Al Qaeda,Taliban,"
345,date,"5 March, 2004,1997,5 March,1969,27 October, 2004,",organization,"DIA,Detroit Utilities Co.,"
346,date,"5 March, 2004,1997,5 March,1969,",organization,"FBI,DIA,Detroit Utilities Co.,"
347,date,"5 March, 2004,1997,1994,1999,1996,8, March, 2004,April of 2000,January, 2001,5 March,1969,11 October, 2004,20 October, 2004,",organization,"FBI,Detroit Utilities Co.,"
348,date,"1999,1996,1993,16 May, 2003,July 18, 1999,28 September, 2003,",organization,"FBI,MI 5,"
349,date,"12 December, 2002,15 Feb. 2003,10 February, 2004,16 March, 2004,1998,1999,16 May, 2003,",organization,"MI 5,Al Qaeda,"
350,date,"20 November, 2003,1 November, 2003,12 September, 2003,3 November, 2003,July, 2001,10 October, 2003,",organization,"Al Qaeda,AOL,University of Missouri,Hamas,Central Farmers Auto Insurance Co.,Mid States Insurance Company,Columbia First State Bank,Mid States,Central Farmers,"
351,date,"15 December, 2003,5 March, 2004,1997,23 October, 2003,25 October, 2003,15 May, 2004,20 May, 2004,5 March,1969,1999 - 2001,February of 2000,",organization,"FBI,DIA,"
352,date,"20 November, 2003,1 November, 2003,12 September, 2003,3 November, 2003,July, 2001,10 October, 2003,2002,",organization,"Al Qaeda,Hamas,"
353,date,"1 November, 2003,12 September, 2003,1990,",organization,"NSA,University of Missouri,"
354,date,"2000,1 November, 2003,1998,12 September, 2003,",organization,"NSA,Al Qaeda,"
355,date,"20 November, 2003,1 November, 2003,12 September, 2003,2001,3 November, 2003,July, 2001,10 October, 2003,",organization,"Al Qaeda,University of Missouri,"
356,date,"20 November, 2003,2001,3 November, 2003,",organization,"FBI,Al Qaeda,University of Missouri,"
357,date,"20 November, 2003,2 January, 2004,1990,1993,2001,3 November, 2003,27 November, 2003,1970,1965,",organization,"FBI,University of Missouri,"
358,date,"20 November, 2003,1997,1994,1999,12 March, 2003,May, 2002,2001,3 November, 2003,16 May, 2003,April, 2000,16 June, 2003,",organization,"FBI,Al Qaeda,"
359,date,"16 May, 2003,18 June, 2003,5 October, 2004,",person,"Abdellah Atmani,Atmani,"
360,date,"3 August, 2004,11 August, 2004,1999 - 2001,February of 2000,",person,"Abdul Nasser,Ali al-Omari,"
361,date,"1998,5 September, 2003,March,1 December, 2004,",person,"Omar Hanif,Muslih Odeh,"
362,date,"20 November, 2003,12 March, 2003,April, 2000,16 June, 2003,18 September, 2004,",person,"Khalid Shamrani,Shamrani,"
363,date,"2000,1 November, 2003,February of 2001,4 March, 1970,November 21st,",person,"Morales,Carlos Morales,"
364,date,"1998,1994,1964,1999 - 2000,March of 2000,June of 2000,",person,"Imad Dahdah,Dahdah,"
365,date,"2 October, 2003,27 September, 2003,27 April,",person,"Abu Hafs,Mehdi Rafiki,Rafiki,"
366,date,"12 December, 2002,2000-2001,March 2002,26 November, 2002,1999-2000,23 October, 2000,",person,"Raeed Beandali,David Loiseau,Fahd Khadr,"
367,date,"May, 2002,15 May, 2003,March 10, 2003,",person,"Yasir Salman,Badawi,Safrygin,"
368,date,"1 September,2 November, 2004,1 September, 2004,15 September, 2004,",person,"Pyotr Safrygin,Safrygin,"
369,date,"1986,12 September, 2003,1990,",person,"Bugarov,Boris Bugarov,Pyotr Safrygin,Yury Kalinin,"
370,date,"23 October, 2003,19 October, 2003,22 October, 2003,21 October, 2003,18 October, 2003,",person,"Jose Escalante,Carlos Araneda,B. Bugarov,Arnoldo Ramirez,"
371,date,"20 November, 2003,May, 2002,26 December, 2003,2 January, 2004,January of 2001,April of 2002,January, 2003,",person,"Billy Jack Hawkins,Slade Goodman,"
372,date,"May, 2002,26 December, 2003,2 January, 2004,January of 2001,April of 2002,January, 2003,",person,"Billy Jack Hawkins,Slade Goodman,Saeed al Nami,Riyad al Taifi,"
373,date,"May, 2002,26 December, 2003,2 January, 2004,January of 2001,April of 2002,January, 2003,",person,"Saeed al Nami,Riyad al Taifi,"
374,date,"2000,1 February, 2004,December, 2003,",person,"Saeed Hasham,Kamal Abdullah,Ali Sittah,Talat Rushdi,Abdullah,"
375,date,"2 January, 2003,2001,12 January 2003,",person,"Badawi,Mamdouh al Hazmi,Mohamed al Omari,Hasham,Omari,"
376,date,"1991,3 March, 2003,2/22/2003,1 May, 2004,1992 - 1993,",person,"Jose Escalante,Escalante,"
377,date,"2/22/2003,1 May, 2004,1992 - 1993,",person,"Jose Escalante,Carlos Morales,Escalante,Arze,Cesar Arze,"
378,date,"1992,23 January, 2003,2/22/2003,1 May, 2004,1992 - 1993,",person,"Arze,Cesar Arze,"
379,date,"1997,29 June, 2003,16 February, 2004,1995,",person,"Abu Somad,Yazid Bafaba,"
380,date,"1997,16 February, 2004,1995,",person,"Abdul al Nami,R. Derwish,Abu Somad,Yazid Bafaba,Khaled Jehani,"
381,date,"20 June, 2003,1990s,1974,23 June, 2003,",person,"Riduan Sungkar,Omar Evertts,A. Somad,Y. Bafaba,Sungkar,"
382,date,"5 September, 2004,17 September, 2004,13 February, 2004,1 October, 2004,",person,"Abdul Jabarah,Fahd Jehani,Ramzi al Shibh,S. H.,Moataz,"
383,date,"20 June, 2003,1990s,1974,23 June, 2003,29 June, 2003,",person,"Riduan Sungkar,Omar Evertts,"
384,date,"2/22/2003,1 May, 2004,1992 - 1993,November 21st,28 September, 2004,",person,"Jose Escalante,Carlos Morales,Arze,"
385,date,"1998,1999,1996,1993,1993 - 1998,July 17, 1999,",person,"Omar Hanif,Hanif,Jamal al Quso,Omar Mahmoud Othman,Othman,"
386,date,"4 February, 2004,5 February,7 February,1998,1999,1996,1993,1993 - 1998,July 17, 1999,15 December, 2004,1 December, 2004,",person,"Omar Hanif,Hanif,"
387,date,"1 September,25 September,12 July, 2004,",person,"Adnan Hijazi,Hijazi,Pieter Dopple,Ramundo Ortiz,Ortiz,Dopple,"
388,date,"2001,2002,22 September 2002,July, 2000,",person,"Saeed Hasham,Yasir Salman,Badawi,Hamid Qatada,Khalid Taha,Osama bin Laden,"
389,date,"1999,16 May, 2003,July 18, 1999,28 September, 2003,",person,"Jamal al Quso,Murad,Abdul Murad,Khalid S.,Quso,Jamal,"
390,date,"12 December, 2002,15 Feb. 2003,10 February, 2004,16 March, 2004,",person,"Raeed Beandali,Reginald Cooper,Ralph Bean,Mahmud al-Dahab,Cooper,al Dahab,"
391,date,"2 April, 2003,1 April, 2003,Fall of 2001,1997 - 2000,",person,"Abdillah Zinedine,Abu Hafs,Mehdi Rafiki,Zinedine,Murad,Zakarya Ziyad,"
392,date,"20 November, 2003,1 November, 2003,12 September, 2003,3 November, 2003,July, 2001,10 October, 2003,",person,"Wali Shakur,Ahmed Doha,Abu Ayyash,Doha,Ayyash,wshakur,"
393,date,"2 January, 2004,1990,1993,2001,3 November, 2003,27 November, 2003,1970,1965,",person,"Wali Shakur,Ahmed Doha,Abu Ayyash,Doha,Ayyash,Shakur,"
394,date,"2 April, 2003,1 April, 2003,17 April, 2003,6 April, 2003,",person,"Abdillah Zinedine,Abu Hafs,Mehdi Rafiki,Zinedine,Patrick O'Malley,Patrick O'alley,O'alley,"
395,date,"5 March, 2004,1 July, 2003,25 October,18 July, 2004,",person,"Abdul al Nami,Abdul,Satam Derwish,Derwish,Ronald,Satam,Ali,"
396,date,"1 November, 2003,2002,10 August, 2001,",person,"J. T.,A. H.,M. M.,Mousa Salah,Shadi abu Hoshar,April Stevens,Salah,Stevens,"
397,date,"1994,21 January, 2002,June 20 to July 2, 2000,",person,"Adnan Hijazi,Hijazi,Mounir Mzoudi,J. T.,A. H.,M. M.,Martha Mason,Mzoudi,"
398,date,"13 December, 2004,20 September, 2004,21 November, 2004,19 December, 2004,15 November, 2004,29 November, 2004,",person,"Muhammed Dandani,Dandani,Said Khadr,Khadr,"
399,date,"13 December, 2004,20 September, 2004,21 November, 2004,19 December, 2004,",person,"Muhammed Dandani,Dandani,Wali Shakur,Mounir Mzoudi,Hamza al Midhar,Mamoun Zammar,Said Khadr,Khadr,"
400,date,"15 July,1 August, 2003,1 July, 2003,",person,"Abdul,R. Derwish,"
401,date,"1997,1 July, 2003,16 February, 2004,1995,",person,"Abdul al Nami,R. Derwish,"
402,date,"1986,12 September, 2003,1990,1992,1993,2002,1950,",person,"Bugarov,Boris Bugarov,"
403,date,"12 September, 2003,1990,1993,",person,"Bugarov,Boris Bugarov,Wali Shakur,Ahmed Doha,Abu Ayyash,Doha,Ayyash,"
404,date,"5 March, 2004,1997,1994,1999,1996,8, March, 2004,April of 2000,January, 2001,27 October, 2004,11 October, 2004,20 October, 2004,",person,"Abdul al Nami,al Nami,"
405,date,"5 March, 2004,1997,27 October, 2004,",person,"Abdul al Nami,al Nami,Khaled Jehani,"
406,date,"5 March, 2004,27 October, 2004,11 October, 2004,20 October, 2004,",person,"Abdul al Nami,al Nami,Satam Derwish,Derwish,Ronald,Satam,"
