BiCluster Id, Row Type, Array of Rows, Column Type, Array of Columns, Importance, Doc Id
15519,document,"NSA_20,NSA_18,",place,"Peshawar,Pakistan,Cuba,Havana,Chitral,",0.00599595693137135000,NA
15520,document,"NSA_08,NSA_05,",place,"Morocco,Casablanca,Pakistan,Chitral,",0.00489272236637820200,NA
15521,document,"NSA_05,NSA_14,",place,"Pakistan,Chitral,Moscow,",0.00002836461615088375,NA
15522,document,"CIA_26,FBI_22,NSA_01,CIA_10,FBI_08,FBI_06,FBI_02,CIA_02,",place,"London,UK,",0.01669899726867060300,NA
15523,document,"CIA_26,FBI_22,CIA_10,FBI_08,FBI_06,FBI_02,CIA_02,",place,"London,UK,",0.08499899170741207000,NA
15524,document,"FBI_08,FBI_02,CIA_02,",place,"Canada,London,UK,",0.01581206822068585700,NA
15525,document,"FBI_22,CIA_10,",place,"London,UK,Afghanistan,",0.10211982048275330000,NA
15526,document,"NSA_01,FBI_06,",place,"London,UK,Texas,",0.00041410300072675380,NA
15527,document,"FBI_22,FBI_08,CIA_02,",place,"London,UK,Detroit,Michigan,",0.02691014270284069700,NA
15528,document,"FBI_08,CIA_02,",place,"Canada,London,UK,Detroit,Michigan,",0.01336546670626756000,NA
15529,document,"CIA_26,CIA_10,FBI_02,",place,"Bahamas,Nassau,London,UK,",0.07472788944656321000,NA
15530,document,"CIA_10,FBI_06,",place,"London,UK,Chicago,Illinois,",0.01695893318497891700,NA
15531,document,"NSA_10,FBI_24,NSA_03,NSA_01,FBI_16,FBI_07,CIA_07,FBI_01,",place,"Paris,France,",0.00139947666143829260,NA
15532,document,"NSA_10,FBI_07,CIA_07,FBI_01,",place,"Canada,Paris,France,",0.00009796721827397658,NA
15533,document,"FBI_07,CIA_07,",place,"Canada,Paris,France,Afghanistan,",0.00311508475972289070,NA
15534,document,"CIA_28,CIA_26,FBI_21,FBI_17,FBI_15,FBI_02,FBI_40,FBI_35,",place,"Florida,",0.01464160502534001200,NA
15535,document,"CIA_26,FBI_21,FBI_02,FBI_40,",place,"Florida,Bahamas,Nassau,",0.01295033454755306100,NA
15536,document,"CIA_26,FBI_21,FBI_02,",place,"Florida,Bahamas,Nassau,UK,",0.03528504108212500400,NA
15537,document,"CIA_26,FBI_02,",place,"Florida,Bahamas,Nassau,London,UK,",0.00530129582071262500,NA
15538,document,"NSA_10,NSA_04,CIA_16,FBI_08,DIA_03,FBI_36,FBI_34,FBI_31,",place,"Windsor,Ontario,Canada,",0.00070928255175116320,NA
15539,document,"NSA_10,CIA_16,FBI_08,DIA_03,FBI_36,FBI_34,",place,"Windsor,Ontario,Canada,",0.00441126353026432800,NA
15540,document,"CIA_16,FBI_08,DIA_03,FBI_36,FBI_34,FBI_31,",place,"Windsor,Ontario,Canada,Detroit,Michigan,",0.00162859447672628340,NA
15541,document,"CIA_16,FBI_08,DIA_03,FBI_36,FBI_34,",place,"Windsor,Ontario,Canada,Detroit,Michigan,",0.00071387245859652520,NA
15542,document,"FBI_25,FBI_19,FBI_09,FBI_04,FBI_38,FBI_37,FBI_33,",place,"Texas,Houston,",0.00378327151486218450,NA
15543,document,"FBI_09,FBI_04,",place,"Texas,Houston,Chicago,Illinois,",0.00000000000000000000,NA
15544,document,"CIA_28,CIA_23,NSA_09,CIA_03,CIA_38,CIA_30,NSA_16,",place,"Santo Domingo,Dominican Republic,",0.00179457576406340360,NA
15545,document,"CIA_03,CIA_30,NSA_16,",place,"Santo Domingo,Dominican Republic,Cuba,Havana,",0.00588158286974808200,NA
15546,document,"CIA_03,NSA_16,",place,"Santo Domingo,Dominican Republic,Cuba,Havana,Columbia,",0.00098298344549548840,NA
15547,document,"CIA_28,NSA_09,",place,"Santo Domingo,Dominican Republic,Morocco,Casablanca,",0.00808493504364510500,NA
15548,document,"CIA_26,CIA_11,",place,"Karachi,",0.00168608197066519600,NA
15549,document,"CIA_26,CIA_22,NSA_07,NSA_06,CIA_37,",place,"Pakistan,Karachi,",0.00997945616542841300,NA
15550,document,"CIA_26,NSA_06,",place,"Pakistan,Bahamas,Karachi,Nassau,",0.00002339619434982988,NA
15551,document,"CIA_22,CIA_11,",place,"Peshawar,Karachi,",0.00000000000000000000,NA
15552,document,"FBI_27,CIA_16,FBI_11,FBI_08,FBI_03,USCBP_02,",place,"Newark,",0.00310501097929535970,NA
15553,document,"CIA_16,FBI_11,FBI_08,",place,"Newark,Detroit,Michigan,",0.00315748415467785600,NA
15554,document,"FBI_27,CIA_16,FBI_11,FBI_03,USCBP_02,",place,"New Jersey,Newark,",0.00421718344588807500,NA
15555,document,"CIA_16,FBI_11,",place,"New Jersey,Newark,Detroit,Michigan,",0.02027827166988254200,NA
15556,document,"CIA_16,FBI_08,",place,"Windsor,Ontario,Canada,Newark,Detroit,Michigan,",0.00344505524889210640,NA
15557,document,"NSA_10,FBI_07,FBI_01,FBI_41,FBI_35,",place,"New York,",0.00033451705086719343,NA
15558,document,"NSA_10,NSA_04,CIA_16,FBI_34,FBI_31,",place,"811 Tecumseh Rd.,Windsor,Ontario,Canada,",0.00894864233871072000,NA
15559,document,"NSA_10,CIA_16,FBI_34,",place,"811 Tecumseh Rd.,Windsor,Ontario,Canada,",0.01692751015416311000,NA
15560,document,"CIA_16,FBI_34,FBI_31,",place,"811 Tecumseh Rd.,Windsor,Ontario,Canada,Detroit,Michigan,",0.01468188515926695400,NA
15561,document,"CIA_16,FBI_34,",place,"811 Tecumseh Rd.,Windsor,Ontario,Canada,Detroit,Michigan,",0.01356646019074802200,NA
15562,document,"NSA_06,CIA_10,CIA_42,FBI_41,CIA_32,",place,"Bahamas,Freeport,",0.00681280633107932900,NA
15563,document,"NSA_06,CIA_10,CIA_42,FBI_41,",place,"Bahamas,Nassau,Freeport,",0.00677289636031109100,NA
15564,document,"CIA_10,FBI_41,",place,"Bahamas,Nassau,Freeport,",0.00106320736776742480,NA
15565,document,"FBI_28,CIA_25,NSA_07,CIA_14,CIA_09,",place,"Panama City,Panama,",0.00520883665814490200,NA
15566,document,"FBI_28,NSA_07,CIA_14,",place,"Pakistan,Panama City,Panama,",0.03321229565956300000,NA
15567,document,"CIA_25,CIA_14,",place,"Panama City,Panama,Cuba,Havana,",0.00286912625978094640,NA
15568,document,"NSA_02,CIA_07,FBI_02,CIA_02,FBI_01,",place,"Canada,Montreal,",0.00427026553885733200,NA
15569,document,"NSA_02,CIA_07,",place,"Canada,Montreal,Chicago,Illinois,",0.01157836818927708000,NA
15570,document,"FBI_02,CIA_02,",place,"Canada,London,UK,Montreal,",0.00120791405616231300,NA
15571,document,"CIA_07,FBI_01,",place,"Canada,Paris,France,Montreal,",0.00397463128148129240,NA
15572,document,"FBI_20,DIA_01,FBI_32,",place,"Saudi Arabia,",0.00000000000000000000,NA
15573,document,"DIA_01,CIA_40,",place,"Afghanistan,Saudi Arabia,",0.00877573681834942600,NA
15574,document,"CIA_03,NSA_21,NSA_19,NSA_17,NSA_13,",place,"Columbia,Bogota,",0.00154295341007689230,NA
15575,document,"NSA_21,NSA_19,NSA_17,NSA_13,",place,"Mexico,Columbia,Bogota,",0.00146591168546607330,NA
15576,document,"CIA_14,NSA_22,CIA_31,",place,"Cuba,Middle East,",0.00597647459663406900,NA
15577,document,"CIA_14,NSA_22,",place,"Cuba,Havana,Middle East,",0.00048404791255167445,NA
15578,document,"CIA_01,NSA_22,CIA_31,",place,"Moscow,Russia,Middle East,",0.00040465676376285680,NA
15579,document,"NSA_22,CIA_31,",place,"Cuba,Moscow,Russia,Middle East,",0.00065590948403186350,NA
15580,document,"CIA_28,CIA_26,FBI_15,FBI_40,",place,"Florida,Miami,",0.00535819273212381600,NA
15581,document,"CIA_26,FBI_40,",place,"Florida,Miami,Bahamas,Nassau,",0.00004210596972748970,NA
15582,document,"NSA_19,NSA_17,NSA_15,NSA_13,",place,"Mexico,555 La Mirada St.,Tampico,",0.00181338590131357680,NA
15583,document,"NSA_19,NSA_17,NSA_13,",place,"Mexico,Columbia,Bogota,555 La Mirada St.,Tampico,",0.00190806769257864310,NA
15584,document,"CIA_28,FBI_08,FBI_35,FBI_30,",place,"Virginia,",0.00651309109022274700,NA
15585,document,"CIA_28,FBI_35,",place,"Virginia,Florida,",0.04432995109715965500,NA
15586,document,"NSA_03,FBI_19,NSA_13,NSA_12,",place,"Ojinaga,Mexico,",0.01120714480307646900,NA
15587,document,"FBI_19,NSA_13,NSA_12,",place,"Ojinaga,Mexico,Columbia,",0.01108252031447594200,NA
15588,document,"FBI_11,DIA_03,FBI_41,FBI_35,",place,"Maryland,",0.00071890064392975910,NA
15589,document,"FBI_11,DIA_03,",place,"Detroit,Michigan,Maryland,",0.00306289150255379500,NA
15590,document,"FBI_41,FBI_35,",place,"New York,Maryland,",0.00009463909556747987,NA
15591,document,"NSA_06,CIA_10,FBI_02,CIA_43,",place,"Bahamas,Nassau,11 Apple St.,",0.00238844999233511330,NA
15592,document,"CIA_10,FBI_02,",place,"Bahamas,Nassau,London,UK,11 Apple St.,",0.00070679797133503940,NA
15593,document,"NSA_06,CIA_10,",place,"Bahamas,Nassau,Freeport,11 Apple St.,",0.00343126575084751700,NA
15594,document,"FBI_28,CIA_14,",place,"Pakistan,Africa,Panama City,Panama,",0.00464512836945145040,NA
15595,document,"NSA_10,FBI_07,FBI_01,",place,"Canada,New York,Paris,France,Buffalo,",0.00187153987023579880,NA
15596,document,"CIA_06,DIA_02,CIA_33,",place,"Afghanistan,Khost,",0.00290584354400272350,NA
15597,document,"FBI_11,FBI_08,FBI_35,",place,"Laurel,",0.00151437810899726110,NA
15598,document,"FBI_11,FBI_08,",place,"Newark,Detroit,Michigan,Laurel,",0.00589369499574358700,NA
15599,document,"FBI_08,FBI_35,",place,"Virginia,Laurel,",0.00130685592329893820,NA
15600,document,"NSA_04,FBI_36,FBI_34,",place,"Windsor,Ontario,Canada,Morocco,Marrakech,",0.00170214314680069330,NA
15601,document,"FBI_36,FBI_34,",place,"Windsor,Ontario,Canada,Morocco,Detroit,Michigan,Marrakech,",0.00855606852072160100,NA
15602,document,"NSA_04,FBI_34,",place,"811 Tecumseh Rd.,Windsor,Ontario,Canada,Morocco,Marrakech,",0.00064770715291273290,NA
15603,document,"CIA_13,FBI_03,DIA_03,",place,"California,",0.00064107192786201740,NA
15604,document,"NSA_02,FBI_02,FBI_01,",place,"Canada,Montreal,Quebec,",0.00380400419665983870,NA
15605,document,"NSA_02,FBI_06,FBI_04,",place,"2211 Cermak Rd.,Chicago,Illinois,",0.00173387676359794040,NA
15606,document,"FBI_23,FBI_18,FBI_31,",place,"Detroit,Michigan,562 Fenkell Ave.,",0.00015971469982849860,NA
15607,document,"FBI_23,FBI_18,",place,"Detroit,Michigan,562 Fenkell Ave.,",0.00000000000000000000,NA
15608,document,"CIA_04,CIA_03,",place,"Cuba,Havana,Columbia,Caribbean,",0.00261560451569511600,NA
15609,document,"FBI_22,FBI_08,FBI_02,",place,"London,UK,Heathrow Airport,",0.00387511716386124750,NA
15610,document,"FBI_08,FBI_02,",place,"Canada,London,UK,Heathrow Airport,",0.00041634956585841914,NA
15611,document,"FBI_22,FBI_08,",place,"London,UK,Detroit,Michigan,Heathrow Airport,",0.00913756536009464400,NA
15612,document,"CIA_23,FBI_19,CIA_30,",place,"Buenos Aires,Argentina,",0.00488542156257772100,NA
15613,document,"FBI_19,CIA_30,",place,"Cuba,Buenos Aires,Argentina,",0.00737859616090856400,NA
15614,document,"CIA_23,CIA_30,",place,"Santo Domingo,Dominican Republic,Buenos Aires,Argentina,",0.00301885622650216760,NA
15615,document,"FBI_13,FBI_12,FBI_10,",place,"Missouri,",0.00000000000000000000,NA
15616,document,"CIA_26,NSA_07,CIA_37,",place,"Pakistan,631 Nishtar Rd.,Karachi,",0.01179182650145846200,NA
15617,document,"FBI_17,FBI_02,FBI_35,",place,"Florida,455 11th St.,Miami Beach,",0.00111799950729942750,NA
15618,document,"FBI_02,FBI_35,",place,"Florida,New Jersey,455 11th St.,Miami Beach,",0.00241198039059335430,NA
15619,document,"FBI_19,CIA_04,NSA_12,",place,"Calamar,Columbia,",0.01071616223914772200,NA
15620,document,"FBI_19,CIA_04,",place,"Cuba,Calamar,Columbia,",0.01724581225800033600,NA
15621,document,"FBI_19,NSA_12,",place,"Ojinaga,Mexico,Calamar,Columbia,",0.01082848202594331000,NA
15622,document,"FBI_14,FBI_10,FBI_35,",place,"New Jersey,224 Paulson Ave.,Clifton,",0.02498833052412439300,NA
15623,document,"FBI_19,FBI_37,NSA_13,",place,"Mexico,Columbia,Chetumal,",0.00696296345380680200,NA
15624,document,"FBI_19,NSA_13,",place,"Ojinaga,Mexico,Columbia,Chetumal,",0.00169674448852452620,NA
15625,document,"FBI_37,USCBP_01,NSA_17,",place,"Mexico,Piedras Negras,",0.00131925494329331300,NA
15626,document,"FBI_37,NSA_17,",place,"Mexico,Columbia,Piedras Negras,",0.00036958756862738340,NA
15627,document,"FBI_37,USCBP_01,",place,"Texas,Mexico,Piedras Negras,",0.00386771538957764040,NA
15628,document,"FBI_19,FBI_38,FBI_37,",place,"Cuba,Texas,Houston,Mexico,Columbia,Cartagena,Guane,",0.01409159477831165900,NA
15629,document,"FBI_19,FBI_37,",place,"Cuba,Texas,Houston,Mexico,Columbia,Chetumal,Cartagena,Guane,",0.00694824834124948400,NA
15630,document,"CIA_24,FBI_16,",place,"Cairo,Egypt,",0.00002010551633964901,NA
15631,document,"FBI_20,CIA_18,CIA_40,",place,"Saudi Arabia,Riyadh,",0.01161194603006092700,NA
15632,document,"FBI_09,FBI_33,FBI_32,",place,"Texas,Bellaire,",0.01248254006143067000,NA
15633,document,"NSA_07,CIA_14,CIA_09,",place,"Panama City,Panama,993 Panamico Ave.,",0.00000000000000000000,NA
15634,document,"NSA_07,CIA_14,",place,"Pakistan,Panama City,Panama,993 Panamico Ave.,",0.00088296187751577090,NA
15635,document,"FBI_25,FBI_12,",place,"Kansas City,",0.00000000000000000000,NA
15636,document,"FBI_09,FBI_33,",place,"Texas,Houston,Bellaire,3236 Pine St.,",0.01340660628132851000,NA
15637,document,"CIA_24,FBI_24,",place,"Cairo,411 Ramses St.,",0.00000000000000000000,NA
15638,document,"FBI_24,FBI_16,",place,"Paris,France,Cairo,Madrid,Spain,",0.00000000000000000000,NA
15639,document,"CIA_23,NSA_09,",place,"Santo Domingo,Dominican Republic,65 Avenue San Martin,",0.00000000000000000000,NA
15640,document,"FBI_11,FBI_35,",place,"New Jersey,2116 27th St.,Laurel,Maryland,",0.00518289743146358160,NA
15641,document,"FBI_07,CIA_02,",place,"Canada,Toronto,",0.00008287918620316858,NA
15642,document,"FBI_23,FBI_05,",place,"Charlotte,North Carolina,",0.00000000000000000000,NA
15643,document,"CIA_07,CIA_06,",place,"Afghanistan,Pakhtia,",0.00658687290254673400,NA
15644,document,"FBI_06,FBI_04,",place,"Texas,2211 Cermak Rd.,Chicago,Illinois,O'Hare Airport,",0.00008557435479162439,NA
15645,document,"CIA_22,CIA_21,",place,"Casablanca,Marocco,",0.00044608195060475430,NA
15646,document,"NSA_10,FBI_07,",place,"Canada,New York,Paris,France,Buffalo,174 Rue Cardinet,",0.00160691473141739940,NA
15647,document,"FBI_26,USCBP_01,",place,"Texas,Carrizo Springs,",0.01774305792185672200,NA
15648,document,"CIA_05,CIA_01,",place,"Moscow,Russia,Strizi,",0.00043457100746870220,NA
15649,document,"FBI_13,FBI_10,",place,"Columbia,231 12th St.,Missouri,",0.00009975697173310982,NA
15650,document,"NSA_09,NSA_16,",place,"Santo Domingo,Dominican Republic,Santa Domingo,",0.00156906036536073600,NA
